time,content,Cleaned,Sentiment_polarity,Sentiment_subjectivity
2019-10-30 23:59:58,RT @PeachesJenkins3: Cynthia Erivo's dark skin will not be used to shield her from criticism over her ethnic chauvinism toward ADOS people.…,peachesjenkins cynthia erivo dark skin used shield criticism ethnic chauvinism toward ado people,-0.15,0.4
2019-10-30 23:56:42,RT @thefilmpoll: Which new release will you see this w/end? #ArcticDogs #ArcticDogsMovie #JeremyRenner #Harriet #HarrietMovie #HarrietTubma…,thefilmpoll new release see w end arcticdogs arcticdogsmovie jeremyrenner harriet harrietmovie harriettubma,0.13636363636363635,0.45454545454545453
2019-10-30 23:49:52,RT @MaLumiere: Forever and Ever and Ever. Amen. #HarrietTubman #HarrietMovie #Harriet #HarrietDeservesBetter https://t.co/xgZD63sPSi,malumiere forever ever ever amen harriettubman harrietmovie harriet harrietdeservesbetter,0.0,0.0
2019-10-30 23:48:08,RT @rashaunps: “@CynthiaEriVo needs to do better. She refuses to admit or acknowledge her bias which comes as a blow to those she insults.…,rashaunps cynthiaerivo need better refuse admit acknowledge bias come blow insult,0.5,0.5
2019-10-30 23:47:57,RT @ProudMisisipian: I wonder which blue check shill will they send to promote #HarrietMovie. Will it be Beyonce? Cardi B?  Fill in the bla…,proudmisisipian wonder blue check shill send promote harrietmovie beyonce cardi b fill bla,0.0,0.1
2019-10-30 23:47:41,Forever and Ever and Ever. Amen. #HarrietTubman #HarrietMovie #Harriet #HarrietDeservesBetter https://t.co/xgZD63sPSi,forever ever ever amen harriettubman harrietmovie harriet harrietdeservesbetter,0.0,0.0
2019-10-30 23:44:49,"MY LATEST: Today’s glut of fictional female movie heroes usually has superpowers and high tech. In real life, tiny… https://t.co/hQXcxVZsoX",latest today glut fictional female movie hero usually superpower high tech real life tiny,0.08714285714285716,0.4152380952380952
2019-10-30 23:43:27,RT @PeachesJenkins3: Cynthia Erivo's dark skin will not be used to shield her from criticism over her ethnic chauvinism toward ADOS people.…,peachesjenkins cynthia erivo dark skin used shield criticism ethnic chauvinism toward ado people,-0.15,0.4
2019-10-30 23:40:59,"Wonder when the ""woke"" culture gonna come after the movie @HarrietFilm for not having an American actress play SUCH… https://t.co/OceMRIW5aW",wonder woke culture gon na come movie harrietfilm american actress play,0.0,0.0
2019-10-30 23:40:56,RT @PeachesJenkins3: Cynthia Erivo's dark skin will not be used to shield her from criticism over her ethnic chauvinism toward ADOS people.…,peachesjenkins cynthia erivo dark skin used shield criticism ethnic chauvinism toward ado people,-0.15,0.4
2019-10-30 23:40:06,"RT @Behembaba: ""... It's also especially interesting that--in the hell that white supremacists built--the Big Bad of Harriet is a Black man…",behembaba also especially interesting hell white supremacist built big bad harriet black man,0.0266666666666667,0.44000000000000006
2019-10-30 23:37:00,"I’m reeling from @CynthiaEriVo in #HarrietMovie — not only is she a damn good leading lady, but seeing an American… https://t.co/QBaUruz4kI",reeling cynthiaerivo harrietmovie damn good leading lady seeing american,0.35,0.30000000000000004
2019-10-30 23:35:54,"RT @etnow: Exclusive: Cynthia Erivo isn't holding back anything ahead of the #HarrietMovie debut. 
https://t.co/9ZXass7cTu",etnow exclusive cynthia erivo holding back anything ahead harrietmovie debut,0.0,0.0
2019-10-30 23:35:27,RT @paynecth: @IAMQUEENLATIFAH Sis back  off this #HarrietMovie promotion.   We :blue_heart:you  and don’t want you to be caught on the wrong side of…,paynecth iamqueenlatifah si back harrietmovie promotion blue heart want caught wrong side,-0.16666666666666666,0.3333333333333333
2019-10-30 23:34:37,"RT @GraceRandolph: #HarrietMovie REVIEW! 

If, unfortunately for some reason, you need convincing that Harriet Tubman belongs on the $20 bi…",gracerandolph harrietmovie review unfortunately reason need convincing harriet tubman belongs bi,0.0,1.0
