time,content,Cleaned,Sentiment_polarity,Sentiment_subjectivity
2019-11-06 23:58:39,"New review: Martin Scorsese's #TheIrishman is a masterful, chilling crime epic with a trio of stellar performances… https://t.co/e2MmubuORW",new review martin scorsese theirishman masterful chilling crime epic trio stellar performance,0.19727272727272724,0.6009090909090908
2019-11-06 23:57:53,"RT @BenMkWrites: A lot can happen in a lifetime. Follow us + RT to enter to #win an ROE double pass to see @Netflix's #TheIrishman, opening…",benmkwrites lot happen lifetime follow u rt enter win roe double pas see netflix theirishman opening,0.4,0.2
2019-11-06 23:54:57,"RT @BenMkWrites: A lot can happen in a lifetime. Follow us + RT to enter to #win an ROE double pass to see @Netflix's #TheIrishman, opening…",benmkwrites lot happen lifetime follow u rt enter win roe double pas see netflix theirishman opening,0.4,0.2
2019-11-06 23:54:07,"#scorsese on #broadway 
#theirishman sadly no :popcorn: https://t.co/9zVNK3PXKj",scorsese broadway theirishman sadly popcorn,-0.5,1.0
2019-11-06 23:54:00,#TheIrishman Among The 7 Movie Releases To Watch November 2019 by @TrapAndFamous https://t.co/YDLB1mf5xL https://t.co/GLHM3lj6Rw,theirishman among movie release watch november trapandfamous,0.0,0.0
2019-11-06 23:52:29,Showtime: #TheIrishman,showtime theirishman,0.0,0.0
2019-11-06 23:51:50,"RT @BenMkWrites: A lot can happen in a lifetime. Follow us + RT to enter to #win an ROE double pass to see @Netflix's #TheIrishman, opening…",benmkwrites lot happen lifetime follow u rt enter win roe double pas see netflix theirishman opening,0.4,0.2
2019-11-06 23:50:27,"Booked in to see #TheIrishman on Tuesday, and then I saw the running time :eyes:.

I'm all for Netflix handing creators… https://t.co/0W3kLwFttC",booked see theirishman tuesday saw running time eye netflix handing creator,0.0,0.0
2019-11-06 23:49:09,"RT @BenMkWrites: A lot can happen in a lifetime. Follow us + RT to enter to #win an ROE double pass to see @Netflix's #TheIrishman, opening…",benmkwrites lot happen lifetime follow u rt enter win roe double pas see netflix theirishman opening,0.4,0.2
2019-11-06 23:45:41,Glad to discover that the six film critics who have given The Irishman negative reviews on Rotten Tomatoes are five… https://t.co/KCOsH5TGmw,glad discover six film critic given irishman negative review rotten tomato five,0.1,0.7
2019-11-06 23:43:34,"RT @BenMkWrites: A lot can happen in a lifetime. Follow us + RT to enter to #win an ROE double pass to see @Netflix's #TheIrishman, opening…",benmkwrites lot happen lifetime follow u rt enter win roe double pas see netflix theirishman opening,0.4,0.2
2019-11-06 23:42:12,RT @AliPlumb: Stephen Graham is an absolute hero. Look forward to him talking about #TheIrishman on the ol' @bbcradio1 Screen Time podcast…,aliplumb stephen graham absolute hero look forward talking theirishman ol bbcradio screen time podcast,0.2,0.9
2019-11-06 23:41:11,"RT @BenMkWrites: A lot can happen in a lifetime. Follow us + RT to enter to #win an ROE double pass to see @Netflix's #TheIrishman, opening…",benmkwrites lot happen lifetime follow u rt enter win roe double pas see netflix theirishman opening,0.4,0.2
2019-11-06 23:40:34,RT @ronniehowlett3: #alpacino towerring performance in #theirishman Is defenetely My pick for best supporting actor #oscar @TheAcademy Bett…,ronniehowlett alpacino towerring performance theirishman defenetely pick best supporting actor oscar theacademy bett,0.625,0.275
2019-11-06 23:37:37,"RT @BenMkWrites: A lot can happen in a lifetime. Follow us + RT to enter to #win an ROE double pass to see @Netflix's #TheIrishman, opening…",benmkwrites lot happen lifetime follow u rt enter win roe double pas see netflix theirishman opening,0.4,0.2
2019-11-06 23:34:53,"RT @BenMkWrites: A lot can happen in a lifetime. Follow us + RT to enter to #win an ROE double pass to see @Netflix's #TheIrishman, opening…",benmkwrites lot happen lifetime follow u rt enter win roe double pas see netflix theirishman opening,0.4,0.2
2019-11-06 23:34:31,"RT @BenMkWrites: A lot can happen in a lifetime. Follow us + RT to enter to #win an ROE double pass to see @Netflix's #TheIrishman, opening…",benmkwrites lot happen lifetime follow u rt enter win roe double pas see netflix theirishman opening,0.4,0.2
2019-11-06 23:34:30,"RT @LastWeekly: #LastWeekly #Podcast Trailer Talk #November Release Special! With #Movie #TrailerReviews of #ChadwickBoseman‘s #21Bridges,…",lastweekly lastweekly podcast trailer talk november release special movie trailerreviews chadwickboseman bridge,0.35714285714285715,0.5714285714285714
2019-11-06 23:34:26,"RT @BenMkWrites: A lot can happen in a lifetime. Follow us + RT to enter to #win an ROE double pass to see @Netflix's #TheIrishman, opening…",benmkwrites lot happen lifetime follow u rt enter win roe double pas see netflix theirishman opening,0.4,0.2
2019-11-06 23:33:55,"RT @BenMkWrites: A lot can happen in a lifetime. Follow us + RT to enter to #win an ROE double pass to see @Netflix's #TheIrishman, opening…",benmkwrites lot happen lifetime follow u rt enter win roe double pas see netflix theirishman opening,0.4,0.2
2019-11-06 23:32:36,"RT @BenMkWrites: A lot can happen in a lifetime. Follow us + RT to enter to #win an ROE double pass to see @Netflix's #TheIrishman, opening…",benmkwrites lot happen lifetime follow u rt enter win roe double pas see netflix theirishman opening,0.4,0.2
2019-11-06 23:32:24,"RT @BenMkWrites: A lot can happen in a lifetime. Follow us + RT to enter to #win an ROE double pass to see @Netflix's #TheIrishman, opening…",benmkwrites lot happen lifetime follow u rt enter win roe double pas see netflix theirishman opening,0.4,0.2
2019-11-06 23:32:20,3 and a half Hour Martin Scorsese epic!!! I’m beyond ready for this. #TheIrishman https://t.co/7gdIEt7saJ,half hour martin scorsese epic beyond ready theirishman,0.04444444444444445,0.35555555555555557
2019-11-06 23:31:32,"RT @BenMkWrites: A lot can happen in a lifetime. Follow us + RT to enter to #win an ROE double pass to see @Netflix's #TheIrishman, opening…",benmkwrites lot happen lifetime follow u rt enter win roe double pas see netflix theirishman opening,0.4,0.2
2019-11-06 23:31:03,"RT @BenMkWrites: A lot can happen in a lifetime. Follow us + RT to enter to #win an ROE double pass to see @Netflix's #TheIrishman, opening…",benmkwrites lot happen lifetime follow u rt enter win roe double pas see netflix theirishman opening,0.4,0.2
2019-11-06 23:30:54,"RT @BenMkWrites: A lot can happen in a lifetime. Follow us + RT to enter to #win an ROE double pass to see @Netflix's #TheIrishman, opening…",benmkwrites lot happen lifetime follow u rt enter win roe double pas see netflix theirishman opening,0.4,0.2
2019-11-06 23:30:54,"RT @BenMkWrites: A lot can happen in a lifetime. Follow us + RT to enter to #win an ROE double pass to see @Netflix's #TheIrishman, opening…",benmkwrites lot happen lifetime follow u rt enter win roe double pas see netflix theirishman opening,0.4,0.2
2019-11-06 23:30:50,"RT @BenMkWrites: A lot can happen in a lifetime. Follow us + RT to enter to #win an ROE double pass to see @Netflix's #TheIrishman, opening…",benmkwrites lot happen lifetime follow u rt enter win roe double pas see netflix theirishman opening,0.4,0.2
2019-11-06 23:30:49,"RT @BenMkWrites: A lot can happen in a lifetime. Follow us + RT to enter to #win an ROE double pass to see @Netflix's #TheIrishman, opening…",benmkwrites lot happen lifetime follow u rt enter win roe double pas see netflix theirishman opening,0.4,0.2
2019-11-06 23:30:22,"A lot can happen in a lifetime. Follow us + RT to enter to #win an ROE double pass to see @Netflix's #TheIrishman,… https://t.co/H3GvGiIz5q",lot happen lifetime follow u,0.0,0.0
2019-11-06 23:27:56,Extremely disappointing &gt; Why #MartinScorsese's #TheIrishman won't be coming to a cinema near you. Major cinemas ar… https://t.co/FRdGhnkje5,extremely disappointing gt martinscorsese theirishman coming cinema near major cinema ar,-0.14583333333333334,0.5333333333333333
2019-11-06 23:13:39,Hey Charlotte friends? See #TheIrishman on the big screen at @ayrsleygrand in December! https://t.co/gG3wSlWnmv,hey charlotte friend see theirishman big screen ayrsleygrand december,0.0,0.1
2019-11-06 23:02:14,"RT @BBCScotNine: The stars of #TheIrishman speak to @bbctheedit ahead of the film’s release. 

#HarveyKeitel tells them about his favourite…",bbcscotnine star theirishman speak bbctheedit ahead film release harveykeitel tell favourite,0.0,0.0
2019-11-06 22:59:13,RT @TweetTastings: Whisky Events: @WalshWhiskey #TheIrishman #WritersTears @TweetTastings Follow all the Irish whiskey fuelled dramfotainme…,tweettastings whisky event walshwhiskey theirishman writerstears tweettastings follow irish whiskey fuelled dramfotainme,0.0,0.0
2019-11-06 22:57:08,"RT @BBCScotNine: The stars of #TheIrishman speak to @bbctheedit ahead of the film’s release. 

#HarveyKeitel tells them about his favourite…",bbcscotnine star theirishman speak bbctheedit ahead film release harveykeitel tell favourite,0.0,0.0
2019-11-06 22:48:16,RT @Cherie_Nova: Unsure of what to watch this fall? Say No More! @LastWeekly has got you covered! We talk &amp; review November movie trailers…,cherie nova unsure watch fall say lastweekly got covered talk amp review november movie trailer,0.0,0.0
2019-11-06 22:47:58,"I guess Joe Pesci could see the truth when a lot of people didn't.
#TheIrishman
https://t.co/KdNRjjCtDd https://t.co/xJMEECC8d2",guess joe pesci could see truth lot people theirishman,0.0,0.0
2019-11-06 22:40:44,"RT @GeekWriterRob: A well-said response from a very talented Filmmaker. There never was a debate to be had, but this is very respectful. I…",geekwriterrob well said response talented filmmaker never debate respectful,0.6,0.8
2019-11-06 22:39:04,"RT @BBCScotNine: The stars of #TheIrishman speak to @bbctheedit ahead of the film’s release. 

#HarveyKeitel tells them about his favourite…",bbcscotnine star theirishman speak bbctheedit ahead film release harveykeitel tell favourite,0.0,0.0
2019-11-06 22:37:59,"@GraceRandolph In other news, I can’t wait for #TheIrishman 
De Nero back with Pesci (or should it be the other way around).
Bring it on",news wait theirishman de nero back pesci way around bring,0.0,0.0
2019-11-06 22:30:29,"Before you see Martin Scorsese's #TheIrishman (with DeNiro, Pacino, Pesci, et al), listen to my interview with Char… https://t.co/NWYJJBSzb1",see martin scorsese theirishman deniro pacino pesci et al listen interview char,0.0,0.0
2019-11-06 22:27:32,"RT @BBCScotNine: The stars of #TheIrishman speak to @bbctheedit ahead of the film’s release. 

#HarveyKeitel tells them about his favourite…",bbcscotnine star theirishman speak bbctheedit ahead film release harveykeitel tell favourite,0.0,0.0
2019-11-06 22:15:09,De Niro. Pacino. Pesci. Martin Scorsese’s The Irishman arrives in select UK cinemas this week. Our review:… https://t.co/xP8VR5OqfR,de niro pacino pesci martin scorsese irishman arrives select uk cinema week review,0.0,0.0
2019-11-06 22:11:44,Hollywood is resurrecting digital #JamesDean. Don't do it. Use of CGI in #TheIrishman is acceptable cos the actual… https://t.co/NcVmbw9c3w,hollywood resurrecting digital jamesdean use cgi theirishman acceptable co actual,0.0,0.05
2019-11-06 22:03:00,whys #TheIrishman trending? did it drop on NF early,why theirishman trending drop nf early,0.1,0.3
2019-11-06 21:59:33,"RT @BBCScotNine: The stars of #TheIrishman speak to @bbctheedit ahead of the film’s release. 

#HarveyKeitel tells them about his favourite…",bbcscotnine star theirishman speak bbctheedit ahead film release harveykeitel tell favourite,0.0,0.0
2019-11-06 21:55:10,"RT @discinverclyde: ""The stars of #TheIrishman speak to @bbctheedit ahead of the film’s release. 

#HarveyKeitel tells them about his favou…",discinverclyde star theirishman speak bbctheedit ahead film release harveykeitel tell favou,0.0,0.0
2019-11-06 21:51:06,Walkers used the same technology that Scorsese used on #TheIrishman to make Mariah Carey look 20 years younger in that Christmas advert,walker used technology scorsese used theirishman make mariah carey look year younger christmas advert,0.0,0.0
2019-11-06 21:44:47,"Absolutely worth a watch, here's a new clip from #TheIrishman, coming to Netflix on 27 November. Starring Joe Pesci… https://t.co/Hi4fYlIIrG",absolutely worth watch new clip theirishman coming netflix november starring joe pesci,0.21818181818181817,0.2772727272727273
2019-11-06 21:41:46,"#FilmTwitter: I may be able to get a ticket for #TheIrishman while it’s playing at #LIFF2019. 

Hopefully I’m free… https://t.co/5pVCxZALdf",filmtwitter may able ticket theirishman playing liff hopefully free,0.45,0.7125
2019-11-06 21:41:37,#TheIrishman’s use of the Five Satins’ “In the Still of the Night” captures the passage of time under Martin Scorse… https://t.co/hjwPuSeuPx,theirishman use five satin still night capture passage time martin scorse,0.0,0.0
2019-11-06 21:41:16,@StephenGraham73 booked in at the Everyman Leeds tomorrow night for #theIrishman and I can’t wait to see one of my… https://t.co/s1CJukTCdu,booked everyman leeds tomorrow night theirishman wait see one,0.0,0.0
2019-11-06 21:40:52,"RT @vinaldo7: In case you missed it, I was lucky enough to catch an early screening of #TheIrishman last month. Here is my Spoiler-free rev…",vinaldo case missed lucky enough catch early screening theirishman last month spoiler free rev,0.16666666666666669,0.5
2019-11-06 21:40:20,Get yourself in the mood for #TheIrishman by witnessing DeNiro and Pacino going head to head on screen by in master… https://t.co/zCgEAInhbx,mood theirishman witnessing deniro pacino going head head screen master,0.0,0.0
2019-11-06 21:39:09,Stephen Graham is an absolute hero. Look forward to him talking about #TheIrishman on the ol' @bbcradio1 Screen Tim… https://t.co/VOf78kSZSE,stephen graham absolute hero look forward talking theirishman ol bbcradio screen tim,0.2,0.9
2019-11-06 21:37:49,Didn’t think it was possible to love @StephenGraham73 any more than I already did. Boss actor and an utterly wonder… https://t.co/olS4gii0vN,think possible love stephengraham already bos actor utterly wonder,0.16666666666666666,0.8666666666666667
2019-11-06 21:30:11,@nytimesarts @TheIrishmanFilm One of a great cast #GreatCasks #GreatCast #TheIrishman https://t.co/BCNuJgnxqf,theirishmanfilm one great cast greatcasks greatcast theirishman,0.8,0.75
2019-11-06 21:28:24,"RT @vinaldo7: In case you missed it, I was lucky enough to catch an early screening of #TheIrishman last month. Here is my Spoiler-free rev…",vinaldo case missed lucky enough catch early screening theirishman last month spoiler free rev,0.16666666666666669,0.5
2019-11-06 21:26:44,"@TheRock I wonder who's going to play @Markcolemanmma and @BasRuttenMMA in the Mark Kerr doc? I say, have them play… https://t.co/SbmAEawj0h",wonder going play markcolemanmma basruttenmma mark kerr doc say play,0.0,0.0
2019-11-06 21:25:39,"RT @BurowPatrick: 3 movies today: #DoctorSleep, #LastChristmasMovie and #TheIrishman....... FUCK YES! Gonna be a big day at the movies, but…",burowpatrick movie today doctorsleep lastchristmasmovie theirishman fuck yes gon na big day movie,-0.2,0.35
2019-11-06 21:23:55,RT @welove1980: #TheIrishman today a @IFC was soooooo Dope :fire: https://t.co/qVHf8eDbef,welove theirishman today ifc soooooo dope fire,0.0,0.0
2019-11-06 21:20:58,"RT @BBCScotNine: The stars of #TheIrishman speak to @bbctheedit ahead of the film’s release. 

#HarveyKeitel tells them about his favourite…",bbcscotnine star theirishman speak bbctheedit ahead film release harveykeitel tell favourite,0.0,0.0
2019-11-06 21:17:34,"RT @NextBestPicture: FULL OSCAR PREDICTIONS (Updated 11/6/19)

#TheLighthouse #TheIrishman #FordvFerrari #LittleWomen #Oscars #AcademyAward…",nextbestpicture full oscar prediction updated thelighthouse theirishman fordvferrari littlewomen oscar academyaward,0.35,0.55
2019-11-06 21:09:10,"RT @BBCScotNine: The stars of #TheIrishman speak to @bbctheedit ahead of the film’s release. 

#HarveyKeitel tells them about his favourite…",bbcscotnine star theirishman speak bbctheedit ahead film release harveykeitel tell favourite,0.0,0.0
2019-11-06 21:06:49,"RT @vinaldo7: In case you missed it, I was lucky enough to catch an early screening of #TheIrishman last month. Here is my Spoiler-free rev…",vinaldo case missed lucky enough catch early screening theirishman last month spoiler free rev,0.16666666666666669,0.5
2019-11-06 21:06:21,"RT @vinaldo7: In case you missed it, I was lucky enough to catch an early screening of #TheIrishman last month. Here is my Spoiler-free rev…",vinaldo case missed lucky enough catch early screening theirishman last month spoiler free rev,0.16666666666666669,0.5
2019-11-06 21:00:24,"Missed the gala showing of #TheIrishman?
Fret not, only one month to go until it's out on general release! Tickets… https://t.co/6oZuvPmWSd",missed gala showing theirishman fret one month go general release ticket,0.05000000000000002,0.5
2019-11-06 20:58:12,"RT @BBCScotNine: The stars of #TheIrishman speak to @bbctheedit ahead of the film’s release. 

#HarveyKeitel tells them about his favourite…",bbcscotnine star theirishman speak bbctheedit ahead film release harveykeitel tell favourite,0.0,0.0
2019-11-06 20:58:02,A lot can happen in a lifetime #RobertDeniro #TheIrishman,lot happen lifetime robertdeniro theirishman,0.0,0.0
2019-11-06 20:55:10,"RT @vinaldo7: In case you missed it, I was lucky enough to catch an early screening of #TheIrishman last month. Here is my Spoiler-free rev…",vinaldo case missed lucky enough catch early screening theirishman last month spoiler free rev,0.16666666666666669,0.5
2019-11-06 20:55:02,A lot can happen in a lifetime .....  #RobertDeniro #TheIrishman,lot happen lifetime robertdeniro theirishman,0.0,0.0
2019-11-06 20:54:05,RT @SAlkuuwari: 𝐂𝐚𝐧𝐭 𝐰𝐚𝐢𝐭 𝐟𝐨𝐫 𝐭𝐡𝐢𝐬 :fire::fire::fire::fire::fire::fire::fire:  #TheIrishman https://t.co/Mshkh055eM,salkuuwari fire fire fire fire fire fire fire theirishman,0.0,0.0
2019-11-06 20:53:03,"Read about #TheIrishman today - the new Scorsese movie that's coming out n can't wait.

De Niro, Pacino n wee Joe P… https://t.co/F4iZBqgFQd",read theirishman today new scorsese movie coming n wait de niro pacino n wee joe p,0.13636363636363635,0.45454545454545453
2019-11-06 20:53:01,Can’t wait til the 27th @netflix #theirishman for a rewatch,wait til th netflix theirishman rewatch,0.0,0.0
2019-11-06 20:50:47,"RT @BBCScotNine: The stars of #TheIrishman speak to @bbctheedit ahead of the film’s release. 

#HarveyKeitel tells them about his favourite…",bbcscotnine star theirishman speak bbctheedit ahead film release harveykeitel tell favourite,0.0,0.0
2019-11-06 20:46:19,"RT @discinverclyde: ""The stars of #TheIrishman speak to @bbctheedit ahead of the film’s release. 

#HarveyKeitel tells them about his favou…",discinverclyde star theirishman speak bbctheedit ahead film release harveykeitel tell favou,0.0,0.0
2019-11-06 20:45:39,"RT @discinverclyde: ""The stars of #TheIrishman speak to @bbctheedit ahead of the film’s release. 

#HarveyKeitel tells them about his favou…",discinverclyde star theirishman speak bbctheedit ahead film release harveykeitel tell favou,0.0,0.0
2019-11-06 20:44:53,"RT @discinverclyde: ""The stars of #TheIrishman speak to @bbctheedit ahead of the film’s release. 

#HarveyKeitel tells them about his favou…",discinverclyde star theirishman speak bbctheedit ahead film release harveykeitel tell favou,0.0,0.0
2019-11-06 20:44:30,RT @leonardmaltin: #TheIrishman is a quiet epic that revisits a milieu #MartinScorsese has famously explored before--but never feels redund…,leonardmaltin theirishman quiet epic revisits milieu martinscorsese famously explored never feel redund,0.19999999999999998,0.5777777777777778
2019-11-06 20:44:23,"""The stars of #TheIrishman speak to @bbctheedit ahead of the film’s release. 

#HarveyKeitel tells them about his f… https://t.co/oUmoGwVmIj",star theirishman speak bbctheedit ahead film release harveykeitel tell f,0.0,0.0
2019-11-06 20:41:38,The @TheIrishmanFilm is officially in theatres now. I saw it once @TheNYFF premiere night &amp; now seeing it again dur… https://t.co/EggyggW5pS,theirishmanfilm officially theatre saw thenyff premiere night amp seeing dur,0.0,0.0
2019-11-06 20:41:13,Saw this before class @Columbia  #theirishman @TheIrishmanFilm @netflix https://t.co/7toDGfYYxc,saw class columbia theirishman theirishmanfilm netflix,0.0,0.0
2019-11-06 20:36:45,RT @TheToneShowShow: Don’t settle for watching me on YouTube now you listen to me and my incredible co-hosts @BigManOut &amp; @Cherie_Nova from…,thetoneshowshow settle watching youtube listen incredible co host bigmanout amp cherie nova,0.9,0.9
2019-11-06 20:35:42,"In case you missed it, I was lucky enough to catch an early screening of #TheIrishman last month. Here is my Spoile… https://t.co/kWnD3ZqIqj",case missed lucky enough catch early screening theirishman last month spoile,0.10833333333333334,0.42500000000000004
2019-11-06 20:30:11,"RT @BBCScotNine: The stars of #TheIrishman speak to @bbctheedit ahead of the film’s release. 

#HarveyKeitel tells them about his favourite…",bbcscotnine star theirishman speak bbctheedit ahead film release harveykeitel tell favourite,0.0,0.0
2019-11-06 20:27:58,"RT @NextBestPicture: END OF THE DECADE POLL: “Which Film Is Your Favorite Biopic Of The Decade?” (Choose Up To 10)

VOTE HERE: https://t.co…",nextbestpicture end decade poll film favorite biopic decade choose vote,0.5,1.0
2019-11-06 20:23:54,"RT @BBCScotNine: The stars of #TheIrishman speak to @bbctheedit ahead of the film’s release. 

#HarveyKeitel tells them about his favourite…",bbcscotnine star theirishman speak bbctheedit ahead film release harveykeitel tell favourite,0.0,0.0
2019-11-06 20:19:00,Next movie up is #TheIrishman. Watching it this Friday at the @LandmarkLTC in SF before it hits #Netflix on Novembe… https://t.co/AUXoL9wstc,next movie theirishman watching friday landmarkltc sf hit netflix novembe,0.0,0.0
2019-11-06 20:14:33,"RT @MrGChristopher: ""While #TheIrishman is about mob figures it's also a story about a broken relationship between a father and child. Fran…",mrgchristopher theirishman mob figure also story broken relationship father child fran,-0.4,0.4
2019-11-06 20:14:33,"I saw this tiny little film by a fella named Scorsese. Suffice it to say…where the hell were ya, Joe Pesci? We miss… https://t.co/Iit7xyRjlG",saw tiny little film fella named scorsese suffice say hell ya joe pesci miss,-0.09375,0.5
2019-11-06 20:13:29,"RT @MrGChristopher: ""While #TheIrishman is about mob figures it's also a story about a broken relationship between a father and child. Fran…",mrgchristopher theirishman mob figure also story broken relationship father child fran,-0.4,0.4
2019-11-06 20:11:04,Hi Twitter. So I live in LA and want to see The Irishman. But what’s going to be the best theatrical experience? La… https://t.co/Bvk28PDdjZ,hi twitter live la want see irishman going best theatrical experience la,0.37878787878787873,0.26666666666666666
2019-11-06 20:09:56,"RT @thecinemababel: Scorsese, DeNiro, Pesci, and Pacino had quite the legacy to live up to with their latest film #TheIrishman. I'm happy t…",thecinemababel scorsese deniro pesci pacino quite legacy live latest film theirishman happy,0.4787878787878788,0.7999999999999999
2019-11-06 20:09:29,"RT @BBCScotNine: The stars of #TheIrishman speak to @bbctheedit ahead of the film’s release. 

#HarveyKeitel tells them about his favourite…",bbcscotnine star theirishman speak bbctheedit ahead film release harveykeitel tell favourite,0.0,0.0
2019-11-06 20:08:42,"""While #TheIrishman is about mob figures it's also a story about a broken relationship between a father and child.… https://t.co/JIYfYrxHl3",theirishman mob figure also story broken relationship father child,-0.4,0.4
2019-11-06 20:08:08,Some “Sunday reading” on a Wednesday... an appreciation of #TheIrishman star Joe Pesci courtesy of The New York Tim… https://t.co/Ya1Bpe9Q4b,sunday reading wednesday appreciation theirishman star joe pesci courtesy new york tim,0.13636363636363635,0.45454545454545453
2019-11-06 20:07:52,"RT @BBCScotNine: The stars of #TheIrishman speak to @bbctheedit ahead of the film’s release. 

#HarveyKeitel tells them about his favourite…",bbcscotnine star theirishman speak bbctheedit ahead film release harveykeitel tell favourite,0.0,0.0
2019-11-06 20:07:20,Torn between finding a cinema showing Scorcese’s #theirishman or watching on Netflix because it’s 3 and a half hours :thinking_face::toilet:,torn finding cinema showing scorcese theirishman watching netflix half hour thinking face toilet,-0.09999999999999999,0.08333333333333333
2019-11-06 20:06:58,"RT @BBCScotNine: The stars of #TheIrishman speak to @bbctheedit ahead of the film’s release. 

#HarveyKeitel tells them about his favourite…",bbcscotnine star theirishman speak bbctheedit ahead film release harveykeitel tell favourite,0.0,0.0
2019-11-06 20:06:16,"Scorsese, DeNiro, Pesci, and Pacino had quite the legacy to live up to with their latest film #TheIrishman. I'm hap… https://t.co/VuhmZhHCSC",scorsese deniro pesci pacino quite legacy live latest film theirishman hap,0.3181818181818182,0.7
2019-11-06 20:04:02,"The stars of #TheIrishman speak to @bbctheedit ahead of the film’s release. 

#HarveyKeitel tells them about his fa… https://t.co/HTZBQDVrAo",star theirishman speak bbctheedit ahead film release harveykeitel tell fa,0.0,0.0
2019-11-06 20:03:03,Some “Sunday reading” on a Wednesday... an appreciation of #TheIrishman star Joe Pesci courtesy of The New York Tim… https://t.co/B4zub35PwV,sunday reading wednesday appreciation theirishman star joe pesci courtesy new york tim,0.13636363636363635,0.45454545454545453
2019-11-06 19:56:57,The stars of #TheIrishman speak to @bbctheedit ahead of the film’s release. We’ll hear from #RobertDeNiro and… https://t.co/phnMyBecI2,star theirishman speak bbctheedit ahead film release hear robertdeniro,0.0,0.0
2019-11-06 19:50:57,"RT @NYcheesy: Brilliant interview with #RobertDeNiro in @BritishGQ ahead of the eagerly anticipated #MartinScorsese film #TheIrishman
Then…",nycheesy brilliant interview robertdeniro britishgq ahead eagerly anticipated martinscorsese film theirishman,0.9,1.0
2019-11-06 19:50:43,"RT @chrisreedfilm: As opposed to almost every other critic (it seems), I really did not like #TheIrishman. My review is now up at @filmfest…",chrisreedfilm opposed almost every critic seems really like theirishman review filmfest,0.2,0.2
2019-11-06 19:49:25,RT @TweetTastings: Whisky Events: @WalshWhiskey #TheIrishman #WritersTears @TweetTastings Follow all the Irish whiskey fuelled dramfotainme…,tweettastings whisky event walshwhiskey theirishman writerstears tweettastings follow irish whiskey fuelled dramfotainme,0.0,0.0
2019-11-06 19:47:05,RT @jezebeljayne: #TheIrishman watching the #oneshow @StephenGraham73 is a fucking Legend :clapping_hands::clapping_hands:,jezebeljayne theirishman watching oneshow stephengraham fucking legend clapping hand clapping hand,-0.6,0.8
2019-11-06 19:46:50,"#MetaScore @metacritic

#FORDvFERRARI 70/100
Generally favorable reviews based on 13 Critics

#TheIrishman 95/100
U… https://t.co/WiPe6MNleJ",metascore metacritic fordvferrari generally favorable review based critic theirishman u,0.05000000000000002,0.5
2019-11-06 19:44:59,RT @egansmind: Stephen Graham is fantastic and deserves all the accolades going. Top Bloke as well #TheOneShow #TheIrishman,egansmind stephen graham fantastic deserves accolade going top bloke well theoneshow theirishman,0.45,0.7
2019-11-06 19:43:09,"RT @NextBestPicture: FULL OSCAR PREDICTIONS (Updated 11/6/19)

#TheLighthouse #TheIrishman #FordvFerrari #LittleWomen #Oscars #AcademyAward…",nextbestpicture full oscar prediction updated thelighthouse theirishman fordvferrari littlewomen oscar academyaward,0.35,0.55
2019-11-06 19:41:59,"RT @BreakingViews4u: #TheIrishman

@RottenTomatoes Critics Consensus

An epic gangster drama that earns its extended run time, @TheIrishman…",breakingviews u theirishman rottentomatoes critic consensus epic gangster drama earns extended run time theirishman,0.1,0.4
2019-11-06 19:41:51,Stephen Graham is fantastic and deserves all the accolades going. Top Bloke as well #TheOneShow #TheIrishman,stephen graham fantastic deserves accolade going top bloke well theoneshow theirishman,0.45,0.7
2019-11-06 19:39:36,"#TheIrishman

@RottenTomatoes Critics Consensus

An epic gangster drama that earns its extended run time,… https://t.co/6TJJDxRaOi",theirishman rottentomatoes critic consensus epic gangster drama earns extended run time,0.1,0.4
